dataset,arm,stage,run_name,fine_tune_mode,num_unfrozen_layers,lr,weight_decay,dropout,batch_size,epochs,seed,n_train,opt_steps,best_dev_acc,best_epoch,wall_seconds,peak_mem_bytes
sst,head,extract,extract-sst-train,,,,,,8,,,,,,,24.7,
sst,head,extract,extract-sst-dev,,,,,,8,,,,,,,4.6,
cfimdb,head,extract,extract-cfimdb-train,,,,,,2,,,,,,,31.7,
cfimdb,head,extract,extract-cfimdb-dev,,,,,,2,,,,,,,6.1,
sst,head,lr,sst-head-lr0.0001,last-linear-layer,0,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4351,2,2.8,48491520
sst,head,lr,sst-head-lr0.0003,last-linear-layer,0,0.0003,0.0,0.3,8,5,11711,8544,5340,0.4441,1,3.1,48491520
sst,head,lr,sst-head-lr0.001,last-linear-layer,0,0.001,0.0,0.3,8,5,11711,8544,5340,0.4559,3,3.4,48491520
sst,head,lr,sst-head-lr0.003,last-linear-layer,0,0.003,0.0,0.3,8,5,11711,8544,5340,0.4323,3,2.8,48491520
sst,head,lr,sst-head-lr0.01,last-linear-layer,0,0.01,0.0,0.3,8,5,11711,8544,5340,0.4169,1,3.6,48491520
sst,head,lr,sst-head-lr0.03,last-linear-layer,0,0.03,0.0,0.3,8,5,11711,8544,5340,0.4205,1,2.8,48491520
sst,full,lr,sst-full-lr5e-06,full-model,12,5e-06,0.0,0.3,8,5,11711,8544,5340,0.4923,4,527.9,2185251840
sst,full,lr,sst-full-lr1e-05,full-model,12,1e-05,0.0,0.3,8,5,11711,8544,5340,0.5123,3,520.2,2186995200
sst,full,lr,sst-full-lr3e-05,full-model,12,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4986,3,520.5,2186995200
sst,full,lr,sst-full-lr0.0001,full-model,12,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4914,0,521.1,2186995200
sst,top2,ladder,sst-top2-lr1e-05,top-layers,2,1e-05,0.0,0.3,8,5,11711,8544,5340,0.4650,4,193.4,729676800
sst,top2,ladder,sst-top2-lr3e-05,top-layers,2,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4941,4,193.1,729676800
sst,top2,ladder,sst-top2-lr0.0001,top-layers,2,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4977,4,192.7,729676800
sst,top4,ladder,sst-top4-lr1e-05,top-layers,4,1e-05,0.0,0.3,8,5,11711,8544,5340,0.4886,4,246.1,917704704
sst,top4,ladder,sst-top4-lr3e-05,top-layers,4,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4914,2,246.6,917704704
sst,top4,ladder,sst-top4-lr0.0001,top-layers,4,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4977,1,246.9,917704704
sst,top8,ladder,sst-top8-lr1e-05,top-layers,8,1e-05,0.0,0.3,8,5,11711,8544,5340,0.5041,2,354.4,1292740608
sst,top8,ladder,sst-top8-lr3e-05,top-layers,8,3e-05,0.0,0.3,8,5,11711,8544,5340,0.5104,3,358.2,1292740608
sst,top8,ladder,sst-top8-lr0.0001,top-layers,8,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4968,0,357.2,1292740608
sst,head,reg,sst-head-do0.0-wd0,last-linear-layer,0,0.001,0.0,0.0,8,5,11711,8544,5340,0.4441,2,2.6,48491520
sst,head,reg,sst-head-do0.0-wd0.01,last-linear-layer,0,0.001,0.01,0.0,8,5,11711,8544,5340,0.4450,2,4.1,48491520
sst,head,reg,sst-head-do0.0-wd0.1,last-linear-layer,0,0.001,0.1,0.0,8,5,11711,8544,5340,0.4450,2,3.8,48491520
sst,head,reg,sst-head-do0.1-wd0,last-linear-layer,0,0.001,0.0,0.1,8,5,11711,8544,5340,0.4605,3,3.7,48491520
sst,head,reg,sst-head-do0.1-wd0.01,last-linear-layer,0,0.001,0.01,0.1,8,5,11711,8544,5340,0.4605,3,3.7,48491520
