checkpoint,temperature,top_p,chrf
5-1e-05-sonnet.pt,1,0.9,41.1258
5-1e-05-sonnet.pt,1,0.85,40.9252
5-1e-05-sonnet.pt,1,0.95,41.1552
5-1e-05-sonnet.pt,1,1,40.7093
5-1e-05-sonnet.pt,1,0.01,32.0682
5-1e-05-sonnet.pt,1,0.1,32.4180
5-1e-05-sonnet.pt,1,0.5,39.4517
5-1e-05-sonnet.pt,1.2,0.9,41.1122
5-1e-05-sonnet.pt,0.6,0.9,36.4995
5-1e-05-sonnet.pt,0.8,0.9,40.2535
5-1e-05-sonnet.pt,0.9,0.9,40.2667
5-1e-05-sonnet.pt,1.1,0.9,41.0772
5-1e-05-sonnet.pt,1.4,0.9,39.3022
5-1e-05-sonnet.pt,0.1,0.9,33.6297
5-1e-05-sonnet.pt,10,0.9,36.7737
5-1e-05-sonnet.pt,1.2,0.85,40.3009
5-1e-05-sonnet.pt,0.6,0.85,35.1606
5-1e-05-sonnet.pt,0.8,0.85,39.0963
5-1e-05-sonnet.pt,0.9,0.85,40.4118
5-1e-05-sonnet.pt,1.1,0.85,40.7713
5-1e-05-sonnet.pt,1.4,0.85,39.2674
5-1e-05-sonnet.pt,0.1,0.85,32.2977
5-1e-05-sonnet.pt,10,0.85,37.1055
5-1e-05-sonnet.pt,1.2,0.95,41.2283
5-1e-05-sonnet.pt,0.6,0.95,36.9333
5-1e-05-sonnet.pt,0.8,0.95,40.0030
5-1e-05-sonnet.pt,0.9,0.95,40.7292
5-1e-05-sonnet.pt,1.1,0.95,40.9022
5-1e-05-sonnet.pt,1.4,0.95,39.8088
5-1e-05-sonnet.pt,0.1,0.95,32.3367
5-1e-05-sonnet.pt,10,0.95,37.2983
5-1e-05-sonnet.pt,1.2,1,40.0645
5-1e-05-sonnet.pt,0.6,1,38.0417
5-1e-05-sonnet.pt,0.8,1,39.2840
5-1e-05-sonnet.pt,0.9,1,41.0484
5-1e-05-sonnet.pt,1.1,1,40.7093
5-1e-05-sonnet.pt,1.4,1,39.4833
5-1e-05-sonnet.pt,0.1,1,32.2496
5-1e-05-sonnet.pt,10,1,37.0045
5-1e-05-sonnet.pt,1.2,0.01,32.0682
5-1e-05-sonnet.pt,0.6,0.01,32.0682
5-1e-05-sonnet.pt,0.8,0.01,32.0682
5-1e-05-sonnet.pt,0.9,0.01,32.0682
5-1e-05-sonnet.pt,1.1,0.01,32.0682
5-1e-05-sonnet.pt,1.4,0.01,32.0682
5-1e-05-sonnet.pt,0.1,0.01,32.0682
5-1e-05-sonnet.pt,10,0.01,39.5207
5-1e-05-sonnet.pt,1.2,0.1,32.7799
5-1e-05-sonnet.pt,0.6,0.1,32.0682
5-1e-05-sonnet.pt,0.8,0.1,32.0124
5-1e-05-sonnet.pt,0.9,0.1,32.1707
5-1e-05-sonnet.pt,1.1,0.1,32.3125
5-1e-05-sonnet.pt,1.4,0.1,36.4648
5-1e-05-sonnet.pt,0.1,0.1,32.0682
5-1e-05-sonnet.pt,10,0.1,39.0339
5-1e-05-sonnet.pt,1.2,0.5,40.6356
5-1e-05-sonnet.pt,0.6,0.5,33.8153
5-1e-05-sonnet.pt,0.8,0.5,34.4792
5-1e-05-sonnet.pt,0.9,0.5,37.8239
5-1e-05-sonnet.pt,1.1,0.5,39.3675
5-1e-05-sonnet.pt,1.4,0.5,41.8976
5-1e-05-sonnet.pt,0.1,0.5,31.5840
5-1e-05-sonnet.pt,10,0.5,37.5623
5-3e-05-sonnet.pt,1.2,0.9,41.6905
5-3e-05-sonnet.pt,0.6,0.9,37.7825
5-3e-05-sonnet.pt,0.8,0.9,41.0197
5-3e-05-sonnet.pt,0.9,0.9,41.4528
5-3e-05-sonnet.pt,1,0.9,41.1583
5-3e-05-sonnet.pt,1.1,0.9,42.3626
5-3e-05-sonnet.pt,1.4,0.9,41.0605
5-3e-05-sonnet.pt,0.1,0.9,33.4422
5-3e-05-sonnet.pt,10,0.9,37.1589
5-3e-05-sonnet.pt,1.2,0.85,42.2006
5-3e-05-sonnet.pt,0.6,0.85,37.2344
5-3e-05-sonnet.pt,0.8,0.85,39.7915
5-3e-05-sonnet.pt,0.9,0.85,40.5605
5-3e-05-sonnet.pt,1,0.85,41.7521
5-3e-05-sonnet.pt,1.1,0.85,41.1324
5-3e-05-sonnet.pt,1.4,0.85,41.9996
5-3e-05-sonnet.pt,0.1,0.85,32.4858
5-3e-05-sonnet.pt,10,0.85,37.0605
5-3e-05-sonnet.pt,1.2,0.95,41.6608
5-3e-05-sonnet.pt,0.6,0.95,37.8214
5-3e-05-sonnet.pt,0.8,0.95,40.5976
5-3e-05-sonnet.pt,0.9,0.95,41.6984
5-3e-05-sonnet.pt,1,0.95,41.0134
5-3e-05-sonnet.pt,1.1,0.95,41.9558
5-3e-05-sonnet.pt,1.4,0.95,40.4163
5-3e-05-sonnet.pt,0.1,0.95,31.8025
5-3e-05-sonnet.pt,10,0.95,37.1111
5-3e-05-sonnet.pt,1.2,1,42.1061
5-3e-05-sonnet.pt,0.6,1,38.4803
5-3e-05-sonnet.pt,0.8,1,40.9939
5-3e-05-sonnet.pt,0.9,1,41.3877
5-3e-05-sonnet.pt,1,1,42.1729
5-3e-05-sonnet.pt,1.1,1,41.3706
5-3e-05-sonnet.pt,1.4,1,39.7409
5-3e-05-sonnet.pt,0.1,1,32.5006
5-3e-05-sonnet.pt,10,1,36.9958
5-3e-05-sonnet.pt,1.2,0.01,33.7822
5-3e-05-sonnet.pt,0.6,0.01,33.7822
5-3e-05-sonnet.pt,0.8,0.01,33.7822
5-3e-05-sonnet.pt,0.9,0.01,33.7822
5-3e-05-sonnet.pt,1,0.01,33.7822
5-3e-05-sonnet.pt,1.1,0.01,33.7822
5-3e-05-sonnet.pt,1.4,0.01,33.7822
5-3e-05-sonnet.pt,0.1,0.01,33.7822
5-3e-05-sonnet.pt,10,0.01,40.0998
5-3e-05-sonnet.pt,1.2,0.1,34.9963
5-3e-05-sonnet.pt,0.6,0.1,33.2721
5-3e-05-sonnet.pt,0.8,0.1,33.8753
5-3e-05-sonnet.pt,0.9,0.1,32.4901
5-3e-05-sonnet.pt,1,0.1,33.7576
5-3e-05-sonnet.pt,1.1,0.1,33.0325
5-3e-05-sonnet.pt,1.4,0.1,36.0306
5-3e-05-sonnet.pt,0.1,0.1,33.7822
5-3e-05-sonnet.pt,10,0.1,39.5350
5-3e-05-sonnet.pt,1.2,0.5,41.7796
5-3e-05-sonnet.pt,0.6,0.5,34.3359
5-3e-05-sonnet.pt,0.8,0.5,34.8821
5-3e-05-sonnet.pt,0.9,0.5,38.8198
5-3e-05-sonnet.pt,1,0.5,39.1832
5-3e-05-sonnet.pt,1.1,0.5,41.2584
5-3e-05-sonnet.pt,1.4,0.5,41.2428
5-3e-05-sonnet.pt,0.1,0.5,32.8946
5-3e-05-sonnet.pt,10,0.5,37.0877
5-0.001-sonnet.pt,1.2,0.9,41.1099
5-0.001-sonnet.pt,0.6,0.9,40.0087
5-0.001-sonnet.pt,0.8,0.9,40.4573
5-0.001-sonnet.pt,0.9,0.9,40.2734
5-0.001-sonnet.pt,1,0.9,40.3359
5-0.001-sonnet.pt,1.1,0.9,41.3089
5-0.001-sonnet.pt,1.4,0.9,41.3203
