checkpoint,temperature,top_p,seed,chrf,seconds
5-0.003-sonnet.pt,0.9,0.9,0,41.0825,20.3
5-0.003-sonnet.pt,1,0.9,0,40.8345,17.6
5-0.003-sonnet.pt,1.1,0.9,0,41.6623,18.2
5-0.003-sonnet.pt,1.2,0.9,0,41.0687,18.5
5-0.003-sonnet.pt,1.4,0.9,0,41.1972,19.7
5-0.003-sonnet.pt,1.1,0.85,0,40.9858,16.8
5-0.003-sonnet.pt,1.1,0.95,0,40.8584,17.6
5-0.003-sonnet.pt,1.1,1,0,41.4803,18.4
5-0.003-sonnet.pt,0.9,0.95,0,40.3855,16.5
5-0.003-sonnet.pt,1.2,0.85,0,40.8948,18.7
5-0.003-sonnet.pt,0.6,0.9,0,39.5899,18.6
5-0.003-sonnet.pt,2,0.9,0,39.5462,18.9
5-0.003-sonnet.pt,1,0.5,0,40.5977,17.9
5-0.001-sonnet.pt,0.9,0.9,0,41.1331,24.7
5-0.001-sonnet.pt,1,0.9,0,41.0962,18.9
5-0.001-sonnet.pt,1.1,0.9,0,41.3336,20.1
5-0.001-sonnet.pt,1.2,0.9,0,40.6017,19.4
5-0.001-sonnet.pt,1.4,0.9,0,40.3913,17.7
5-0.001-sonnet.pt,1.1,0.85,0,41.6743,19.4
5-0.001-sonnet.pt,1.1,0.95,0,41.1304,20.0
5-0.001-sonnet.pt,1.1,1,0,40.7718,19.9
5-0.001-sonnet.pt,0.9,0.95,0,40.8191,18.7
5-0.001-sonnet.pt,1.2,0.85,0,41.1398,19.1
5-0.001-sonnet.pt,0.6,0.9,0,39.8638,18.8
5-0.001-sonnet.pt,2,0.9,0,41.1109,19.6
5-0.001-sonnet.pt,1,0.5,0,39.7859,20.8
5-0.0003-sonnet.pt,0.9,0.9,0,41.4531,25.7
5-0.0003-sonnet.pt,1,0.9,0,41.3879,20.3
5-0.0003-sonnet.pt,1.1,0.9,0,41.9414,19.7
5-0.0003-sonnet.pt,1.2,0.9,0,41.5559,20.5
5-0.0003-sonnet.pt,1.4,0.9,0,41.6447,20.6
5-0.0003-sonnet.pt,1.1,0.85,0,41.6541,21.8
5-0.0003-sonnet.pt,1.1,0.95,0,41.3544,21.5
5-0.0003-sonnet.pt,1.1,1,0,41.9478,21.5
5-0.0003-sonnet.pt,0.9,0.95,0,41.3085,21.5
5-0.0003-sonnet.pt,1.2,0.85,0,41.5029,21.7
5-0.0003-sonnet.pt,0.6,0.9,0,39.1604,20.6
5-0.0003-sonnet.pt,2,0.9,0,39.5605,18.4
5-0.0003-sonnet.pt,1,0.5,0,39.5141,21.1
5-0.0001-sonnet.pt,0.9,0.9,0,41.2691,25.1
5-0.0001-sonnet.pt,1,0.9,0,42.0803,20.5
5-0.0001-sonnet.pt,1.1,0.9,0,41.8194,20.6
5-0.0001-sonnet.pt,1.2,0.9,0,41.8122,21.2
5-0.0001-sonnet.pt,1.4,0.9,0,41.4834,21.0
5-0.0001-sonnet.pt,1.1,0.85,0,41.6959,19.8
5-0.0001-sonnet.pt,1.1,0.95,0,42.1745,21.5
5-0.0001-sonnet.pt,1.1,1,0,41.8258,20.7
5-0.0001-sonnet.pt,0.9,0.95,0,40.9401,20.5
5-0.0001-sonnet.pt,1.2,0.85,0,41.6952,20.7
5-0.0001-sonnet.pt,0.6,0.9,0,38.2596,20.8
5-0.0001-sonnet.pt,2,0.9,0,40.5459,22.3
5-0.0001-sonnet.pt,1,0.5,0,40.2163,19.9
5-3e-05-sonnet.pt,0.9,0.9,0,41.1619,24.7
5-3e-05-sonnet.pt,1,0.9,0,42.4503,20.6
5-3e-05-sonnet.pt,1.1,0.9,0,42.1861,21.4
5-3e-05-sonnet.pt,1.2,0.9,0,42.5615,21.0
5-3e-05-sonnet.pt,1.4,0.9,0,40.7953,20.0
5-3e-05-sonnet.pt,1.1,0.85,0,42.2688,20.9
5-3e-05-sonnet.pt,1.1,0.95,0,41.5885,20.6
5-3e-05-sonnet.pt,1.1,1,0,41.8001,19.7
5-3e-05-sonnet.pt,0.9,0.95,0,41.3163,20.2
5-3e-05-sonnet.pt,1.2,0.85,0,41.9642,21.1
5-3e-05-sonnet.pt,0.6,0.9,0,37.3555,19.0
5-3e-05-sonnet.pt,2,0.9,0,39.0762,21.6
5-3e-05-sonnet.pt,1,0.5,0,39.3031,18.5
5-1e-05-sonnet.pt,0.9,0.9,0,41.2021,25.5
5-1e-05-sonnet.pt,1,0.9,0,41.7806,20.4
5-1e-05-sonnet.pt,1.1,0.9,0,41.5366,20.3
5-1e-05-sonnet.pt,1.2,0.9,0,41.1336,18.9
5-1e-05-sonnet.pt,1.4,0.9,0,40.5581,19.8
5-1e-05-sonnet.pt,1.1,0.85,0,41.1968,19.2
5-1e-05-sonnet.pt,1.1,0.95,0,41.3160,21.4
5-1e-05-sonnet.pt,1.1,1,0,40.9923,19.7
5-1e-05-sonnet.pt,0.9,0.95,0,41.1433,19.9
5-1e-05-sonnet.pt,1.2,0.85,0,41.6389,19.7
5-1e-05-sonnet.pt,0.6,0.9,0,36.9729,17.8
5-1e-05-sonnet.pt,2,0.9,0,38.3260,21.6
5-1e-05-sonnet.pt,1,0.5,0,37.8412,17.7
5-3e-06-sonnet.pt,0.9,0.9,0,39.4035,21.4
5-3e-06-sonnet.pt,1,0.9,0,35.1935,10.4
5-3e-06-sonnet.pt,1.1,0.9,0,36.7726,10.9
5-3e-06-sonnet.pt,1.2,0.9,0,36.9541,12.5
5-3e-06-sonnet.pt,1.4,0.9,0,39.1622,18.6
5-3e-06-sonnet.pt,1.1,0.85,0,37.8943,14.2
5-3e-06-sonnet.pt,1.1,0.95,0,38.5309,14.8
5-3e-06-sonnet.pt,1.1,1,0,38.7728,16.3
5-3e-06-sonnet.pt,0.9,0.95,0,41.1455,18.8
5-3e-06-sonnet.pt,1.2,0.85,0,36.2662,11.1
5-3e-06-sonnet.pt,0.6,0.9,0,33.8398,11.7
5-3e-06-sonnet.pt,2,0.9,0,38.3540,21.4
5-3e-06-sonnet.pt,1,0.5,0,38.1562,17.5
10-0.001-sonnet.pt,0.9,0.9,0,40.9058,24.3
10-0.001-sonnet.pt,1,0.9,0,40.8916,21.0
10-0.001-sonnet.pt,1.1,0.9,0,40.7763,20.2
10-0.001-sonnet.pt,1.2,0.9,0,40.7413,21.3
10-0.001-sonnet.pt,1.4,0.9,0,41.8524,20.5
10-0.001-sonnet.pt,1.1,0.85,0,41.3030,20.4
10-0.001-sonnet.pt,1.1,0.95,0,41.7444,21.3
10-0.001-sonnet.pt,1.1,1,0,41.0970,20.2
10-0.001-sonnet.pt,0.9,0.95,0,41.3196,21.6
10-0.001-sonnet.pt,1.2,0.85,0,41.2406,21.3
10-0.001-sonnet.pt,0.6,0.9,0,40.6508,20.9
10-0.001-sonnet.pt,2,0.9,0,41.1765,21.0
10-0.001-sonnet.pt,1,0.5,0,40.2868,20.6
10-0.0003-sonnet.pt,0.9,0.9,0,40.8340,25.6
10-0.0003-sonnet.pt,1,0.9,0,41.4335,20.1
10-0.0003-sonnet.pt,1.1,0.9,0,41.2874,20.0
10-0.0003-sonnet.pt,1.2,0.9,0,41.1917,19.8
10-0.0003-sonnet.pt,1.4,0.9,0,41.0583,20.7
10-0.0003-sonnet.pt,1.1,0.85,0,41.1879,19.7
10-0.0003-sonnet.pt,1.1,0.95,0,41.2252,20.9
10-0.0003-sonnet.pt,1.1,1,0,41.3209,20.2
10-0.0003-sonnet.pt,0.9,0.95,0,41.3918,20.2
10-0.0003-sonnet.pt,1.2,0.85,0,40.6028,19.9
10-0.0003-sonnet.pt,0.6,0.9,0,41.7554,19.8
10-0.0003-sonnet.pt,2,0.9,0,41.7456,21.0
10-0.0003-sonnet.pt,1,0.5,0,40.8901,20.5
10-0.0001-sonnet.pt,0.9,0.9,0,41.7854,25.3
10-0.0001-sonnet.pt,1,0.9,0,41.6710,20.1
10-0.0001-sonnet.pt,1.1,0.9,0,41.4582,20.1
10-0.0001-sonnet.pt,1.2,0.9,0,41.5381,21.1
10-0.0001-sonnet.pt,1.4,0.9,0,41.7581,20.6
10-0.0001-sonnet.pt,1.1,0.85,0,41.2410,19.6
10-0.0001-sonnet.pt,1.1,0.95,0,42.2975,20.6
10-0.0001-sonnet.pt,1.1,1,0,41.8504,20.2
10-0.0001-sonnet.pt,0.9,0.95,0,41.9468,20.8
10-0.0001-sonnet.pt,1.2,0.85,0,41.4183,20.2
10-0.0001-sonnet.pt,0.6,0.9,0,39.6647,19.6
10-0.0001-sonnet.pt,2,0.9,0,41.0914,20.3
10-0.0001-sonnet.pt,1,0.5,0,41.1224,19.4
5-0.003-sonnet.pt,0.9,0.9,1,41.0627,24.6
5-0.003-sonnet.pt,1,0.9,1,41.0844,19.9
5-0.003-sonnet.pt,1.1,0.9,1,41.1803,20.5
5-0.003-sonnet.pt,1.2,0.9,1,41.5660,20.2
5-0.003-sonnet.pt,1.4,0.9,1,40.1802,18.4
5-0.003-sonnet.pt,1.1,0.85,1,41.7940,20.2
5-0.003-sonnet.pt,1.1,0.95,1,41.7763,20.4
5-0.003-sonnet.pt,1.1,1,1,41.1173,19.7
